,satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
73,dissatisfied,Male,disloyal Customer,20,Business travel,Eco,2568,3,3,3,3,5,3,5,5,1,1,3,2,3,5,0,20.0
74,satisfied,Male,Loyal Customer,51,Business travel,Business,3584,4,1,4,4,2,4,4,4,4,4,4,4,4,5,16,0.0
75,satisfied,Male,Loyal Customer,67,Business travel,Business,379,2,2,2,2,1,4,3,5,5,5,5,2,5,2,0,0.0
76,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1574,4,4,4,4,4,5,5,3,3,3,3,5,3,5,14,8.0
77,satisfied,Female,Loyal Customer,53,Business travel,Business,127,0,5,0,3,2,5,4,4,4,4,4,5,4,4,0,0.0
78,satisfied,Female,Loyal Customer,34,Business travel,Business,2604,5,5,5,5,4,5,3,4,4,4,4,4,4,5,0,0.0
79,dissatisfied,Female,disloyal Customer,50,Business travel,Business,2489,4,4,4,4,5,4,5,5,2,4,4,3,4,5,0,0.0
80,satisfied,Female,Loyal Customer,42,Business travel,Business,88,0,4,0,5,3,4,4,5,5,5,5,5,5,3,18,2.0
81,satisfied,Female,Loyal Customer,69,Personal Travel,Eco,334,4,5,4,3,2,5,4,4,4,4,4,3,4,5,10,3.0
82,dissatisfied,Male,Loyal Customer,45,Business travel,Eco,2257,2,1,1,1,3,2,3,3,4,2,4,2,4,3,88,73.0
83,dissatisfied,Male,Loyal Customer,49,Business travel,Business,2314,3,4,4,4,3,3,4,3,3,3,3,4,3,3,16,9.0
84,dissatisfied,Female,Loyal Customer,62,Business travel,Business,2811,4,4,4,4,1,4,3,4,4,4,4,3,4,2,0,0.0
85,dissatisfied,Male,Loyal Customer,41,Business travel,Eco,1621,4,3,3,3,4,4,4,4,1,1,3,3,4,4,0,0.0
86,satisfied,Male,Loyal Customer,34,Business travel,Business,483,2,2,2,2,5,5,5,5,5,5,5,3,5,3,2,14.0
87,satisfied,Female,Loyal Customer,26,Business travel,Business,4442,4,4,4,4,5,4,5,5,4,5,5,4,4,5,0,0.0
88,satisfied,Male,Loyal Customer,39,Business travel,Business,705,2,2,3,2,2,5,4,4,4,4,4,5,4,4,9,13.0
89,dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,2498,1,4,1,5,5,1,5,5,5,2,4,5,4,5,20,4.0
90,dissatisfied,Female,disloyal Customer,36,Business travel,Business,3164,3,3,3,4,1,3,1,1,4,2,4,4,5,1,0,0.0
91,satisfied,Male,Loyal Customer,37,Business travel,Business,492,1,1,1,1,4,4,5,4,4,4,4,4,4,4,10,1.0
92,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,2314,5,5,5,5,5,5,4,3,3,3,3,3,3,3,0,0.0
93,satisfied,Female,Loyal Customer,15,Personal Travel,Eco,2423,5,5,5,5,2,5,4,4,4,4,4,4,4,3,65,72.0
94,satisfied,Male,Loyal Customer,31,Business travel,Business,4865,4,4,4,4,4,4,4,4,4,5,4,4,5,4,0,5.0
95,dissatisfied,Male,Loyal Customer,16,Personal Travel,Eco,1212,3,4,3,1,5,3,2,5,4,2,4,3,5,5,12,20.0
96,dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,2198,3,5,3,4,3,3,3,3,4,1,1,4,2,3,42,14.0
97,dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,1747,4,5,4,4,4,4,4,4,4,3,1,1,4,4,0,
98,dissatisfied,Male,disloyal Customer,37,Business travel,Eco,1604,2,2,3,3,3,3,3,3,1,1,4,1,4,3,0,15.0
99,dissatisfied,Female,disloyal Customer,37,Business travel,Eco,2541,1,4,1,4,5,1,5,5,4,4,3,2,3,5,23,18.0
100,satisfied,Male,Loyal Customer,37,Business travel,Business,1490,5,5,5,5,4,5,4,3,3,4,3,5,3,3,0,0.0
101,dissatisfied,Female,disloyal Customer,24,Business travel,Eco,1246,1,4,1,4,1,1,1,1,5,4,5,5,4,1,59,81.0
102,dissatisfied,Male,Loyal Customer,43,Personal Travel,Eco,3253,2,4,2,4,2,2,5,2,3,3,5,3,5,2,0,13.0
103,dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,1907,2,2,3,4,3,3,3,3,4,2,3,4,4,3,16,3.0
104,satisfied,Female,Loyal Customer,62,Personal Travel,Eco Plus,1220,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,15.0
105,satisfied,Male,Loyal Customer,70,Business travel,Business,3512,2,2,2,2,1,3,1,4,4,4,4,1,4,4,23,25.0
106,satisfied,Female,Loyal Customer,36,Business travel,Business,955,5,5,4,5,2,4,5,4,4,4,4,4,4,3,0,0.0
107,dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,1537,2,5,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0
108,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,561,2,2,2,2,5,4,5,4,4,4,4,4,4,3,0,0.0
109,satisfied,Female,Loyal Customer,66,Personal Travel,Eco,221,1,1,1,1,4,4,5,4,4,4,4,4,4,4,58,54.0
110,satisfied,Female,Loyal Customer,57,Business travel,Business,1506,1,1,1,1,2,4,5,4,4,4,4,5,4,3,0,0.0
111,dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco Plus,1959,3,5,3,3,4,3,3,4,4,3,5,5,5,4,2,0.0
112,satisfied,Male,Loyal Customer,19,Business travel,Business,3107,4,4,4,4,3,4,3,3,1,3,3,4,1,3,0,7.0
113,dissatisfied,Male,disloyal Customer,37,Business travel,Business,2156,3,3,3,2,5,3,5,5,3,2,4,4,4,5,0,0.0
114,dissatisfied,Male,disloyal Customer,15,Business travel,Eco,1519,1,1,1,5,1,1,1,1,2,5,2,3,3,1,0,0.0
115,dissatisfied,Male,Loyal Customer,39,Business travel,Eco,848,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0,5.0
116,dissatisfied,Female,disloyal Customer,36,Business travel,Eco,1525,2,0,2,2,4,2,4,4,3,1,2,4,3,4,13,1.0
117,satisfied,Male,Loyal Customer,21,Business travel,Business,1763,3,3,3,3,4,4,4,4,5,1,5,1,3,4,0,0.0
118,dissatisfied,Male,Loyal Customer,33,Personal Travel,Eco,1366,2,5,2,3,2,2,2,2,4,3,5,3,5,2,0,0.0
119,dissatisfied,Male,Loyal Customer,46,Business travel,Eco,2137,2,4,1,1,2,2,2,2,4,3,3,4,2,2,52,45.0
120,satisfied,Female,Loyal Customer,54,Business travel,Business,890,4,4,4,4,5,5,4,4,4,4,4,4,4,4,0,0.0
121,satisfied,Male,disloyal Customer,25,Business travel,Business,2353,4,0,4,3,4,4,4,4,3,2,5,3,5,4,108,116.0
122,dissatisfied,Male,disloyal Customer,57,Business travel,Eco,2049,2,2,2,2,1,2,1,1,1,2,1,3,2,1,25,9.0
123,dissatisfied,Female,Loyal Customer,45,Business travel,Business,3241,2,4,4,4,2,2,2,2,4,2,3,2,4,2,186,171.0
124,dissatisfied,Male,disloyal Customer,27,Business travel,Eco,1341,1,1,1,1,1,1,1,1,4,4,2,3,2,1,18,22.0
125,satisfied,Female,Loyal Customer,52,Business travel,Business,568,5,5,5,5,5,4,5,4,4,4,4,3,4,4,0,0.0
126,dissatisfied,Male,disloyal Customer,18,Business travel,Eco,1791,2,1,1,4,2,1,2,2,3,3,3,2,4,2,8,25.0
127,dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco Plus,2314,1,4,2,5,3,2,3,3,4,5,4,4,5,3,4,0.0
128,dissatisfied,Female,Loyal Customer,11,Business travel,Eco Plus,2193,4,1,1,1,4,4,2,4,3,2,3,4,4,4,3,14.0
129,satisfied,Female,Loyal Customer,64,Personal Travel,Eco,654,4,2,4,4,2,4,4,4,4,4,4,2,4,2,0,0.0
130,dissatisfied,Female,disloyal Customer,38,Business travel,Eco,1880,2,4,2,3,3,2,3,3,4,2,3,4,3,3,0,0.0
131,dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,2580,3,1,3,4,5,3,5,5,3,4,4,1,4,5,0,2.0
132,satisfied,Male,disloyal Customer,25,Business travel,Business,3282,4,0,4,4,4,3,3,4,2,4,5,3,3,3,152,165.0
133,dissatisfied,Female,Loyal Customer,55,Business travel,Eco,291,3,3,3,3,4,3,4,3,3,3,3,3,3,2,0,0.0
134,satisfied,Male,Loyal Customer,37,Business travel,Business,467,5,5,5,5,2,3,4,3,3,4,3,3,3,2,2,0.0
135,dissatisfied,Female,disloyal Customer,39,Business travel,Business,3793,2,2,2,4,3,2,3,3,3,5,3,3,4,3,19,0.0
136,satisfied,Female,Loyal Customer,52,Business travel,Business,2696,5,5,5,5,5,5,4,3,3,3,3,4,3,3,0,0.0
137,satisfied,Male,Loyal Customer,45,Business travel,Eco Plus,1143,5,4,4,4,5,5,5,5,5,5,4,5,2,5,0,0.0
138,dissatisfied,Male,disloyal Customer,22,Business travel,Eco,1994,2,3,3,3,1,3,1,1,5,4,4,2,1,1,54,37.0
139,satisfied,Male,Loyal Customer,68,Business travel,Business,3550,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0.0
140,satisfied,Male,Loyal Customer,54,Business travel,Business,2019,5,5,5,5,2,5,5,4,4,5,4,5,4,4,35,31.0
141,satisfied,Male,Loyal Customer,49,Business travel,Eco,1827,4,5,5,5,4,4,4,4,2,2,3,4,5,4,0,0.0
142,satisfied,Male,disloyal Customer,21,Business travel,Eco,1594,5,0,5,2,2,5,2,2,5,5,3,5,2,2,0,11.0
143,satisfied,Male,Loyal Customer,56,Business travel,Business,1483,4,4,4,4,1,3,5,5,5,5,5,5,5,4,0,1.0
144,satisfied,Male,Loyal Customer,47,Business travel,Eco,818,5,1,1,1,5,5,5,5,5,4,3,3,2,5,17,11.0
145,dissatisfied,Male,disloyal Customer,27,Business travel,Eco,2799,2,2,2,3,2,2,2,2,2,2,3,1,3,2,18,11.0
146,dissatisfied,Male,Loyal Customer,26,Business travel,Business,4472,3,4,4,4,3,3,3,3,1,2,3,1,4,3,0,0.0
147,satisfied,Male,disloyal Customer,26,Business travel,Business,2353,5,4,4,3,1,4,1,1,4,2,4,3,4,1,34,33.0
148,dissatisfied,Female,Loyal Customer,38,Business travel,Business,3990,5,3,3,3,4,3,4,5,5,4,5,2,5,3,3,32.0
149,dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco,1965,3,4,3,3,2,3,2,2,5,1,2,1,2,2,3,0.0
150,satisfied,Female,Loyal Customer,11,Personal Travel,Eco,2993,2,2,3,2,5,1,1,3,3,4,3,2,3,4,0,0.0
151,satisfied,Male,Loyal Customer,28,Business travel,Business,3131,1,1,1,1,4,4,4,4,5,2,5,5,4,4,0,0.0
152,satisfied,Female,Loyal Customer,44,Business travel,Business,2871,3,3,3,3,3,5,5,5,5,5,5,3,5,5,0,7.0
153,dissatisfied,Female,Loyal Customer,10,Personal Travel,Eco Plus,1376,4,5,3,5,3,3,3,3,3,3,4,3,4,3,69,79.0
154,satisfied,Female,Loyal Customer,26,Business travel,Eco Plus,1823,5,1,1,1,5,5,5,5,1,1,5,4,5,5,0,0.0
155,satisfied,Male,Loyal Customer,40,Business travel,Business,3492,4,4,4,4,4,4,4,3,3,4,5,4,5,4,182,221.0
156,dissatisfied,Male,Loyal Customer,18,Personal Travel,Business,1605,2,4,2,2,1,2,1,1,4,5,5,5,4,1,0,0.0
157,dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1337,3,1,3,3,1,3,1,1,2,3,3,3,3,1,24,21.0
158,satisfied,Male,Loyal Customer,40,Business travel,Business,1606,4,4,4,4,4,4,4,4,4,4,4,3,4,5,0,10.0
159,dissatisfied,Female,Loyal Customer,41,Business travel,Business,2915,2,5,5,5,5,3,4,2,2,1,2,2,2,1,0,14.0
160,dissatisfied,Male,Loyal Customer,39,Business travel,Business,2165,2,3,3,3,4,3,3,2,2,2,2,4,2,2,14,27.0
161,satisfied,Female,Loyal Customer,56,Personal Travel,Eco,946,4,4,3,4,4,3,3,2,2,2,2,4,2,4,0,19.0
162,dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,2148,2,4,2,4,5,2,5,5,4,5,4,4,5,5,10,0.0
163,dissatisfied,Female,disloyal Customer,39,Business travel,Business,2503,4,4,4,2,3,4,3,3,4,1,1,3,1,3,7,0.0
164,satisfied,Female,Loyal Customer,48,Business travel,Business,2571,4,4,4,4,4,5,5,5,5,5,3,3,5,1,0,0.0
165,satisfied,Male,Loyal Customer,48,Business travel,Business,247,0,0,0,2,1,3,2,3,3,3,3,3,3,5,67,80.0
166,satisfied,Female,Loyal Customer,23,Personal Travel,Business,1977,4,5,4,5,4,4,5,4,2,1,4,1,2,4,2,1.0
167,satisfied,Male,Loyal Customer,53,Business travel,Business,334,2,2,2,2,5,5,4,5,5,5,5,5,5,4,1,0.0
168,satisfied,Female,Loyal Customer,52,Business travel,Business,2492,3,3,3,3,5,4,4,4,4,4,4,5,4,4,0,0.0
169,dissatisfied,Male,Loyal Customer,51,Business travel,Business,3066,4,5,5,5,2,4,3,4,4,3,4,2,4,3,6,2.0
170,satisfied,Female,Loyal Customer,59,Business travel,Business,3240,5,5,5,5,4,5,5,2,2,2,2,4,2,3,7,20.0
171,dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,2277,2,5,2,3,5,2,5,5,5,5,4,3,5,5,20,0.0
172,dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,3108,1,5,1,3,1,1,1,1,4,5,5,5,5,1,67,43.0
173,satisfied,Male,Loyal Customer,64,Personal Travel,Eco,2131,5,4,5,4,3,5,3,3,3,3,3,2,3,3,0,0.0
174,satisfied,Male,Loyal Customer,29,Business travel,Eco,2582,5,1,1,1,5,5,5,5,5,1,4,1,2,5,72,89.0
175,satisfied,Male,Loyal Customer,42,Business travel,Eco,1871,4,2,2,2,4,4,4,4,5,2,3,1,2,4,14,6.0
176,dissatisfied,Female,disloyal Customer,23,Business travel,Eco,2311,2,2,2,4,5,2,5,5,4,3,4,3,3,5,0,18.0
177,satisfied,Female,Loyal Customer,16,Personal Travel,Eco Plus,2125,3,3,3,3,5,5,5,5,1,1,2,3,5,5,7,11.0
178,satisfied,Female,disloyal Customer,26,Business travel,Business,1834,0,5,0,4,1,0,1,1,5,2,4,3,5,1,43,49.0
179,satisfied,Female,Loyal Customer,68,Personal Travel,Eco Plus,409,5,5,5,5,2,5,4,4,4,4,4,5,4,4,0,0.0
180,satisfied,Female,Loyal Customer,43,Business travel,Business,1310,1,1,1,1,3,4,4,4,4,4,4,4,4,5,0,0.0
181,dissatisfied,Male,disloyal Customer,35,Business travel,Eco,1982,1,2,2,3,5,2,5,5,3,3,4,2,4,5,27,27.0
182,satisfied,Female,Loyal Customer,53,Business travel,Business,3698,4,4,4,4,2,5,5,5,5,5,5,3,5,5,3,0.0
183,satisfied,Female,Loyal Customer,33,Business travel,Business,955,4,4,4,4,3,5,4,4,4,5,4,4,4,5,0,0.0
184,dissatisfied,Male,Loyal Customer,34,Personal Travel,Eco,2154,2,4,2,2,2,2,2,2,3,3,5,3,4,2,0,0.0
185,satisfied,Male,Loyal Customer,50,Business travel,Business,64,4,4,4,4,3,5,5,4,4,4,4,3,4,4,0,0.0
186,dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco,1665,3,4,3,4,2,3,2,2,3,2,5,3,4,2,10,9.0
187,dissatisfied,Male,disloyal Customer,23,Business travel,Eco,1736,2,2,2,3,5,2,5,5,3,4,3,1,3,5,0,0.0
188,dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,1393,3,1,5,2,1,5,1,1,3,3,2,1,2,1,2,0.0
189,satisfied,Male,Loyal Customer,61,Business travel,Business,2478,0,5,0,1,5,4,4,4,4,1,1,3,4,3,0,0.0
190,dissatisfied,Male,Loyal Customer,38,Personal Travel,Eco,2736,1,5,1,3,5,1,5,5,5,5,5,4,4,5,0,24.0
191,satisfied,Male,Loyal Customer,49,Business travel,Business,394,1,1,1,1,5,5,3,3,3,3,3,5,3,1,50,57.0
192,dissatisfied,Female,Loyal Customer,34,Business travel,Business,3414,1,1,3,1,4,2,3,1,1,1,1,3,1,4,66,67.0
193,satisfied,Female,Loyal Customer,44,Business travel,Business,85,0,3,0,2,4,1,3,4,4,4,4,5,4,3,0,0.0
194,satisfied,Female,disloyal Customer,23,Business travel,Business,1471,0,0,0,3,1,0,1,1,3,4,4,5,5,1,38,47.0
195,dissatisfied,Female,Loyal Customer,36,Business travel,Business,1606,1,5,1,5,1,1,1,1,2,3,4,1,2,1,0,0.0
196,dissatisfied,Male,Loyal Customer,27,Personal Travel,Eco,1977,2,4,2,3,1,2,1,1,3,2,3,3,4,1,19,3.0
197,dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco,1304,3,1,3,3,1,3,4,1,4,3,4,1,3,1,27,32.0
198,dissatisfied,Male,Loyal Customer,25,Business travel,Eco,2554,4,2,4,4,4,4,2,4,1,3,4,4,4,4,13,0.0
199,satisfied,Female,Loyal Customer,60,Personal Travel,Eco,602,5,5,5,5,5,5,5,4,4,4,4,5,4,5,30,19.0
200,dissatisfied,Male,Loyal Customer,29,Business travel,Business,3242,5,3,3,3,5,4,5,5,2,5,4,4,4,5,0,0.0
201,dissatisfied,Female,Loyal Customer,38,Business travel,Business,3898,2,5,5,5,2,2,2,3,3,3,3,2,2,2,133,121.0
202,satisfied,Male,Loyal Customer,39,Business travel,Business,911,1,1,1,1,3,1,1,5,5,5,5,4,5,4,0,0.0
