satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
36,dissatisfied,Male,disloyal Customer,49,Business travel,Business,1973,2,2,2,4,5,2,5,5,4,4,4,5,4,5,5,10.0
37,dissatisfied,Female,disloyal Customer,10,Business travel,Eco,1893,2,1,1,3,1,1,1,1,1,1,4,4,4,1,0,7.0
38,satisfied,Male,Loyal Customer,40,Business travel,Business,1477,4,4,4,4,5,5,4,4,4,4,4,5,4,5,0,0.0
39,dissatisfied,Male,Loyal Customer,66,Business travel,Eco,3151,1,2,5,5,1,1,1,1,1,3,2,1,3,1,0,0.0
40,dissatisfied,Female,Loyal Customer,30,Business travel,Business,3927,4,4,3,4,4,4,4,4,2,4,4,1,3,4,3,6.0
41,dissatisfied,Male,Loyal Customer,39,Business travel,Business,3435,1,3,4,3,2,3,4,3,3,3,1,1,3,3,65,60.0
42,satisfied,Female,Loyal Customer,49,Business travel,Business,235,3,3,3,3,4,4,4,5,5,5,5,5,5,4,0,0.0
43,dissatisfied,Male,disloyal Customer,36,Business travel,Eco,1875,3,4,4,4,1,4,1,1,3,3,4,4,4,1,118,105.0
44,dissatisfied,Female,Loyal Customer,33,Business travel,Business,2591,4,5,5,5,5,4,4,4,4,4,4,2,4,4,0,0.0
45,satisfied,Female,Loyal Customer,47,Business travel,Business,3530,4,4,4,4,4,5,4,5,5,5,5,5,5,3,3,3.0
46,dissatisfied,Male,disloyal Customer,44,Business travel,Eco,2350,2,1,1,4,4,1,4,4,3,1,1,5,2,4,2,0.0
47,dissatisfied,Female,Loyal Customer,62,Business travel,Business,2702,3,4,2,4,4,2,3,3,3,3,3,3,3,1,11,7.0
48,satisfied,Female,Loyal Customer,30,Business travel,Business,2116,2,2,2,2,1,2,1,1,5,2,3,3,5,1,0,0.0
49,satisfied,Female,Loyal Customer,55,Business travel,Business,2046,1,1,1,1,2,4,4,5,5,5,5,5,5,4,0,0.0
50,satisfied,Male,Loyal Customer,19,Personal Travel,Eco,2039,5,3,5,3,1,5,1,1,3,2,3,2,1,1,0,0.0
51,satisfied,Female,Loyal Customer,56,Business travel,Business,411,2,2,2,2,2,5,2,2,2,2,2,3,2,2,0,0.0
52,dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,2469,4,0,4,3,4,4,3,4,5,2,4,5,4,4,0,0.0
53,satisfied,Male,Loyal Customer,39,Business travel,Business,1932,5,5,5,5,4,2,5,5,5,5,5,4,5,3,0,0.0
54,dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,1679,3,0,3,5,5,3,5,5,5,2,4,3,5,5,3,0.0
55,satisfied,Male,Loyal Customer,32,Business travel,Eco,2537,0,0,0,2,5,0,5,5,2,2,2,5,3,5,0,0.0
56,satisfied,Female,Loyal Customer,11,Personal Travel,Eco,2201,1,1,1,1,3,5,5,2,2,2,2,3,2,5,0,0.0
57,satisfied,Female,Loyal Customer,51,Business travel,Eco,810,5,3,4,3,2,4,2,5,5,5,5,2,5,4,0,0.0
58,satisfied,Female,Loyal Customer,40,Business travel,Business,408,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.0
59,satisfied,Female,Loyal Customer,36,Business travel,Business,2120,4,1,4,4,4,4,4,5,5,5,5,5,5,4,3,1.0
60,dissatisfied,Female,Loyal Customer,62,Business travel,Eco Plus,205,2,3,3,3,1,4,3,2,2,2,2,1,2,2,0,0.0
61,satisfied,Female,Loyal Customer,57,Business travel,Business,1719,2,2,2,2,3,5,5,4,4,4,4,5,4,3,0,0.0
62,dissatisfied,Male,Loyal Customer,51,Business travel,Eco Plus,2402,4,2,3,2,4,4,4,4,2,3,2,1,2,4,36,30.0
63,dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,1542,1,4,5,2,3,5,3,3,3,2,5,4,5,3,19,17.0
64,dissatisfied,Male,Loyal Customer,32,Business travel,Eco Plus,1728,1,2,2,2,1,1,1,1,3,1,3,1,3,1,0,0.0
65,dissatisfied,Female,disloyal Customer,27,Business travel,Eco,1499,2,0,1,4,3,1,3,3,2,1,1,3,3,3,0,0.0
66,satisfied,Female,Loyal Customer,17,Personal Travel,Eco,3333,5,1,1,1,5,5,5,5,1,3,5,2,4,5,0,1.0
67,satisfied,Male,Loyal Customer,42,Business travel,Business,1862,1,1,1,1,3,3,1,5,5,5,5,1,5,2,0,5.0
68,satisfied,Male,Loyal Customer,43,Business travel,Business,1666,3,2,3,3,5,5,4,5,5,5,4,4,5,4,0,0.0
69,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2199,1,1,1,1,2,4,4,3,3,4,3,3,3,4,0,0.0
70,satisfied,Male,Loyal Customer,43,Business travel,Business,3936,4,4,4,4,2,4,4,5,5,5,5,3,5,5,0,0.0
71,satisfied,Female,Loyal Customer,48,Business travel,Business,224,5,5,5,5,2,4,4,3,3,4,4,4,3,3,0,0.0
72,satisfied,Female,Loyal Customer,31,Business travel,Business,4436,1,1,5,1,5,5,5,5,4,2,5,3,4,5,0,0.0
73,satisfied,Female,Loyal Customer,27,Personal Travel,Eco,1639,5,5,5,3,3,5,4,5,5,5,5,4,5,4,41,48.0
74,dissatisfied,Male,Loyal Customer,60,Business travel,Business,3716,2,2,2,2,4,3,3,2,2,2,2,3,2,2,21,9.0
75,dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco,1895,3,3,3,4,3,3,3,3,4,1,4,4,3,3,0,0.0
76,satisfied,Female,Loyal Customer,53,Business travel,Business,3033,3,3,3,3,5,4,4,4,4,4,4,5,4,4,0,0.0
77,dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco Plus,1834,2,3,2,2,2,2,2,2,4,2,4,4,4,2,46,37.0
78,dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,3111,2,4,2,3,2,2,2,2,3,5,4,3,5,2,4,0.0
79,dissatisfied,Female,disloyal Customer,36,Business travel,Eco,2429,4,4,4,3,1,4,1,1,4,3,1,4,2,1,4,0.0
80,dissatisfied,Female,Loyal Customer,12,Personal Travel,Eco,2107,3,5,3,4,1,3,1,1,3,4,5,5,5,1,5,0.0
81,dissatisfied,Male,Loyal Customer,40,Business travel,Business,619,2,1,1,1,4,2,1,2,2,2,2,3,2,3,6,12.0
82,dissatisfied,Female,Loyal Customer,41,Business travel,Business,816,3,4,4,4,4,4,4,3,3,3,3,2,3,2,17,13.0
83,dissatisfied,Male,Loyal Customer,22,Business travel,Eco,1750,2,3,3,3,2,2,4,2,2,1,4,3,3,2,54,49.0
84,satisfied,Female,Loyal Customer,29,Personal Travel,Eco,2464,4,4,4,4,5,4,4,3,3,4,3,5,3,4,31,42.0
85,satisfied,Female,Loyal Customer,27,Personal Travel,Eco,1637,4,4,4,4,4,4,4,3,3,3,3,4,3,5,6,1.0
86,dissatisfied,Male,Loyal Customer,61,Business travel,Eco,1151,3,4,4,4,3,3,3,3,3,3,4,2,3,3,0,0.0
87,dissatisfied,Male,Loyal Customer,31,Business travel,Eco Plus,2686,2,2,2,2,2,2,2,2,4,5,3,2,3,2,0,10.0
88,dissatisfied,Female,Loyal Customer,30,Business travel,Business,3447,3,4,4,4,3,3,3,3,4,1,4,2,3,3,0,6.0
89,dissatisfied,Female,disloyal Customer,34,Business travel,Eco,1297,2,0,2,1,3,2,3,3,3,5,1,4,3,3,0,0.0
90,dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1810,3,2,2,4,5,2,5,5,1,2,4,4,3,5,0,4.0
91,dissatisfied,Female,Loyal Customer,33,Business travel,Business,3963,4,4,4,4,4,3,4,4,4,4,4,4,4,1,0,0.0
92,dissatisfied,Male,disloyal Customer,36,Business travel,Business,1696,3,3,3,2,5,3,5,5,5,2,5,3,5,5,0,0.0
93,dissatisfied,Male,disloyal Customer,54,Business travel,Eco,1582,1,4,1,2,5,1,5,5,2,3,1,1,3,5,0,0.0
94,satisfied,Female,Loyal Customer,53,Personal Travel,Eco,1001,5,4,5,4,5,4,5,4,4,5,4,5,4,4,28,20.0
95,satisfied,Male,Loyal Customer,38,Business travel,Business,3255,1,1,3,1,2,4,5,4,4,5,4,3,4,5,0,0.0
96,dissatisfied,Female,Loyal Customer,38,Business travel,Eco,3690,1,0,0,3,4,0,4,4,3,1,3,4,3,4,13,6.0
97,satisfied,Male,Loyal Customer,32,Business travel,Business,2657,3,3,3,3,2,2,2,3,4,4,5,2,4,2,135,136.0
98,dissatisfied,Female,Loyal Customer,67,Business travel,Business,1931,2,2,2,2,2,2,2,3,3,3,3,2,2,2,0,0.0
99,dissatisfied,Male,Loyal Customer,55,Business travel,Business,375,3,4,4,4,3,3,3,3,3,3,3,1,3,3,0,0.0
100,satisfied,Female,Loyal Customer,38,Business travel,Business,2904,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0
101,dissatisfied,Female,disloyal Customer,44,Business travel,Business,1411,2,2,2,1,3,2,3,3,5,4,4,5,5,3,0,13.0
102,dissatisfied,Male,Loyal Customer,39,Business travel,Eco,1544,2,5,1,5,2,2,2,2,2,2,4,1,3,2,16,30.0
103,satisfied,Male,Loyal Customer,28,Business travel,Business,2001,3,3,3,3,4,4,4,4,3,4,4,5,5,4,0,0.0
104,dissatisfied,Male,Loyal Customer,41,Business travel,Business,2511,1,3,3,3,4,2,3,1,1,1,1,3,1,1,0,43.0
105,dissatisfied,Female,Loyal Customer,43,Business travel,Business,472,4,3,3,3,4,3,3,4,4,4,4,4,4,3,19,15.0
106,satisfied,Female,Loyal Customer,60,Business travel,Business,2368,3,3,3,3,5,5,5,4,4,4,4,4,4,5,0,0.0
107,satisfied,Female,Loyal Customer,24,Personal Travel,Eco,2028,4,2,2,2,4,4,4,4,3,5,1,2,5,4,1,2.0
108,satisfied,Male,Loyal Customer,47,Business travel,Business,2331,3,3,4,3,4,4,1,4,4,4,4,5,4,4,46,34.0
109,dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1622,4,3,4,3,2,4,2,2,3,4,3,3,3,2,6,4.0
110,satisfied,Female,Loyal Customer,54,Business travel,Business,2344,4,4,4,4,5,5,5,3,3,3,3,4,3,5,36,17.0
111,dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,1568,2,4,2,2,1,2,1,1,5,4,4,2,4,1,0,0.0
112,dissatisfied,Male,Loyal Customer,16,Personal Travel,Eco,1696,1,3,1,3,1,1,1,1,3,2,3,2,3,1,35,26.0
113,dissatisfied,Male,Loyal Customer,37,Business travel,Business,3636,3,4,4,4,2,4,4,3,3,3,3,1,3,4,0,0.0
114,dissatisfied,Female,Loyal Customer,64,Personal Travel,Eco,2297,2,5,2,4,2,3,3,4,1,1,5,3,5,3,229,231.0
115,dissatisfied,Female,Loyal Customer,35,Personal Travel,Business,1074,4,5,5,1,4,4,4,2,2,5,2,5,2,5,0,0.0
116,satisfied,Female,Loyal Customer,24,Personal Travel,Eco,2459,5,1,5,4,1,4,3,1,1,5,1,1,1,2,13,28.0
117,dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco,1413,1,5,1,2,5,1,5,5,1,2,2,2,1,5,2,0.0
118,dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,2692,4,1,4,4,1,4,2,1,4,5,3,3,4,1,0,0.0
119,dissatisfied,Male,Loyal Customer,44,Personal Travel,Eco Plus,1397,4,4,4,1,2,4,2,2,4,5,4,4,5,2,1,0.0
120,satisfied,Female,Loyal Customer,14,Personal Travel,Eco,1894,5,5,5,5,4,4,4,5,5,5,5,5,5,3,0,10.0
121,satisfied,Male,disloyal Customer,49,Business travel,Business,3064,5,4,4,4,2,5,2,2,3,5,5,3,4,2,24,22.0
122,dissatisfied,Male,disloyal Customer,24,Business travel,Eco,1092,3,0,3,4,3,3,5,3,5,4,4,5,4,3,0,0.0
123,satisfied,Female,Loyal Customer,38,Business travel,Business,303,5,5,5,5,1,1,3,4,4,4,4,5,4,5,0,0.0
124,satisfied,Male,Loyal Customer,50,Business travel,Business,1939,1,1,5,1,4,3,4,4,4,4,4,5,4,5,1,0.0
125,dissatisfied,Female,Loyal Customer,42,Business travel,Business,3630,4,1,1,1,2,4,3,4,4,4,4,1,4,4,0,28.0
126,dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco,1355,3,1,3,2,5,3,5,5,1,1,2,1,1,5,0,0.0
127,satisfied,Female,Loyal Customer,45,Business travel,Business,2898,1,1,1,1,5,4,4,4,4,4,4,3,4,5,1,0.0
128,satisfied,Female,Loyal Customer,66,Business travel,Business,1194,4,4,4,4,4,4,4,5,5,5,5,2,5,4,0,0.0
129,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1052,2,2,2,2,5,4,4,3,3,4,3,4,3,3,0,13.0
130,dissatisfied,Male,Loyal Customer,35,Business travel,Business,949,2,3,3,3,1,2,3,2,2,2,2,1,2,3,0,0.0
131,dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1629,3,2,3,4,2,3,2,2,3,1,4,4,3,2,1,0.0
132,dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,2023,1,4,1,3,2,1,2,2,4,4,4,5,5,2,0,0.0
133,dissatisfied,Male,Loyal Customer,67,Personal Travel,Eco,2197,1,4,1,5,3,1,3,3,3,5,4,3,5,3,106,99.0
134,satisfied,Male,Loyal Customer,45,Business travel,Business,789,2,2,2,2,4,5,4,5,5,5,5,5,5,4,0,0.0
135,satisfied,Female,Loyal Customer,41,Business travel,Business,2955,4,4,4,4,3,5,5,3,3,4,3,3,3,3,0,0.0
136,satisfied,Female,Loyal Customer,48,Business travel,Business,373,2,2,2,2,3,4,4,4,4,4,4,1,4,2,0,0.0
137,dissatisfied,Female,Loyal Customer,43,Business travel,Business,3568,2,2,2,2,3,4,3,2,2,2,2,4,2,3,9,0.0
138,dissatisfied,Male,Loyal Customer,18,Personal Travel,Eco,1714,2,5,2,1,1,2,1,1,4,3,4,3,4,1,0,0.0
139,dissatisfied,Male,Loyal Customer,18,Personal Travel,Eco,2953,1,1,1,2,2,1,1,2,2,5,1,3,3,2,10,7.0
140,satisfied,Female,Loyal Customer,14,Personal Travel,Eco,2330,1,1,1,1,2,5,4,4,4,4,4,4,4,4,0,0.0
141,satisfied,Female,Loyal Customer,40,Business travel,Business,3805,3,3,3,3,5,4,2,5,5,5,5,4,5,2,29,17.0
142,dissatisfied,Female,disloyal Customer,33,Business travel,Business,1766,2,3,3,2,1,3,2,1,4,2,4,5,5,1,0,0.0
143,satisfied,Female,Loyal Customer,48,Business travel,Business,393,1,1,1,1,2,4,5,4,4,5,4,5,4,4,0,0.0
144,satisfied,Female,Loyal Customer,46,Business travel,Business,2504,2,2,2,2,2,4,4,5,5,5,5,5,5,3,33,44.0
145,dissatisfied,Female,Loyal Customer,25,Business travel,Business,4590,2,5,5,5,2,2,2,2,4,5,3,2,2,2,1,0.0
146,satisfied,Female,Loyal Customer,21,Personal Travel,Business,1479,4,1,1,1,4,4,4,4,5,3,3,1,2,4,7,72.0
147,dissatisfied,Male,Loyal Customer,10,Personal Travel,Business,2473,4,3,4,4,4,4,4,4,2,4,3,4,4,4,0,0.0
148,dissatisfied,Female,Loyal Customer,67,Business travel,Eco,905,2,5,5,5,3,3,2,2,2,2,2,3,2,3,0,0.0
149,dissatisfied,Male,disloyal Customer,28,Business travel,Eco,1549,3,0,2,2,4,2,4,4,5,1,2,5,1,4,0,0.0
150,satisfied,Female,Loyal Customer,53,Business travel,Business,4383,4,4,4,4,5,5,5,3,2,5,5,5,3,5,137,166.0
151,satisfied,Male,Loyal Customer,39,Business travel,Eco,1702,4,5,2,5,4,4,4,4,3,5,3,1,1,4,0,0.0
152,satisfied,Female,Loyal Customer,41,Business travel,Business,467,1,1,1,1,5,5,4,5,5,5,5,3,5,3,0,3.0
153,dissatisfied,Female,Loyal Customer,55,Business travel,Business,3586,2,4,4,4,5,2,3,2,2,2,2,2,2,4,13,0.0
154,satisfied,Female,Loyal Customer,20,Personal Travel,Eco,2013,5,5,5,5,3,5,5,1,1,2,1,3,1,5,0,0.0
155,dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,2378,4,4,4,3,2,4,2,2,3,4,4,3,4,2,0,2.0
156,satisfied,Male,Loyal Customer,45,Business travel,Eco Plus,1067,5,1,1,1,4,5,4,4,1,4,4,4,2,4,5,8.0
157,satisfied,Female,Loyal Customer,46,Business travel,Eco Plus,2601,5,1,3,1,5,5,2,5,5,5,5,2,5,4,0,0.0
158,dissatisfied,Female,Loyal Customer,46,Personal Travel,Eco,700,4,4,4,3,4,1,1,1,1,4,4,2,1,1,15,7.0
159,satisfied,Female,Loyal Customer,17,Business travel,Eco,1454,3,1,1,1,3,4,4,3,3,5,4,3,3,3,0,0.0
160,satisfied,Male,Loyal Customer,31,Business travel,Business,1986,2,2,2,2,5,5,5,5,1,5,3,3,1,5,0,0.0
161,satisfied,Female,Loyal Customer,54,Personal Travel,Eco,377,5,5,5,1,3,5,3,3,5,4,5,3,4,3,11,0.0
162,dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,1514,4,4,4,1,4,4,4,4,3,5,5,3,5,4,20,8.0
163,satisfied,Male,Loyal Customer,48,Business travel,Business,2419,3,3,3,3,5,4,5,4,4,4,4,4,4,3,6,1.0
164,satisfied,Male,Loyal Customer,36,Business travel,Business,1045,2,2,2,2,4,4,5,4,4,4,4,3,4,3,7,0.0
165,satisfied,Female,Loyal Customer,48,Business travel,Business,885,3,3,3,3,5,4,5,4,4,4,4,3,4,4,41,12.0
166,satisfied,Female,Loyal Customer,53,Personal Travel,Eco,708,1,1,1,1,5,5,5,5,4,4,4,5,5,5,0,0.0
167,dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1826,4,5,0,4,5,0,5,5,1,3,3,5,5,5,29,42.0
168,satisfied,Female,Loyal Customer,37,Business travel,Business,328,5,5,5,5,5,2,1,5,5,5,5,2,5,5,1,0.0
169,satisfied,Female,Loyal Customer,31,Business travel,Business,2915,2,2,2,2,5,5,5,5,3,3,4,4,4,5,119,96.0
170,dissatisfied,Female,Loyal Customer,44,Business travel,Business,3599,1,2,2,2,4,3,4,1,1,1,1,1,1,1,51,41.0
171,dissatisfied,Female,Loyal Customer,45,Business travel,Business,4007,2,2,2,2,1,4,4,2,2,1,2,4,2,1,0,0.0
172,satisfied,Male,Loyal Customer,39,Business travel,Business,3185,1,1,1,1,2,4,5,5,5,5,5,5,5,4,0,0.0
173,satisfied,Female,Loyal Customer,53,Business travel,Business,1549,5,5,3,5,3,4,5,5,5,5,5,4,5,5,0,0.0
174,satisfied,Male,disloyal Customer,24,Business travel,Eco,1779,4,0,4,3,2,4,2,2,4,5,4,3,4,2,74,68.0
175,satisfied,Female,Loyal Customer,44,Business travel,Business,3577,1,1,1,1,2,3,1,5,5,5,5,1,5,4,0,0.0
176,satisfied,Female,Loyal Customer,36,Personal Travel,Eco,1495,4,4,4,4,4,4,4,4,4,2,5,5,5,4,34,23.0
177,dissatisfied,Female,Loyal Customer,55,Personal Travel,Eco,3454,2,3,2,3,2,3,3,4,4,4,4,3,1,3,265,253.0
178,dissatisfied,Female,Loyal Customer,68,Business travel,Eco,423,3,4,4,4,4,2,3,3,3,3,3,1,3,1,1,19.0
179,dissatisfied,Female,Loyal Customer,64,Personal Travel,Eco Plus,355,4,5,4,2,4,4,4,2,2,4,2,5,2,5,0,0.0
180,satisfied,Male,Loyal Customer,40,Business travel,Business,2354,1,1,1,1,3,4,4,5,5,5,5,3,5,3,3,3.0
181,satisfied,Male,Loyal Customer,70,Personal Travel,Eco,2386,4,1,3,3,4,3,4,4,4,5,2,4,3,4,0,0.0
182,satisfied,Female,Loyal Customer,55,Business travel,Business,3420,5,5,5,5,3,5,5,5,5,5,5,4,5,4,66,64.0
183,satisfied,Female,Loyal Customer,37,Business travel,Business,400,5,5,5,5,2,5,4,4,4,4,4,4,4,3,0,0.0
184,dissatisfied,Female,Loyal Customer,44,Business travel,Business,2212,3,3,3,3,4,2,3,3,3,3,3,4,3,3,56,63.0
185,satisfied,Male,Loyal Customer,63,Business travel,Business,3960,1,1,1,1,3,4,5,5,5,5,5,3,5,4,0,0.0
186,satisfied,Female,Loyal Customer,45,Business travel,Business,3360,3,3,3,3,5,5,5,4,4,4,4,3,4,5,0,0.0
187,dissatisfied,Male,disloyal Customer,39,Business travel,Business,2919,2,3,3,2,1,3,1,1,3,4,5,5,4,1,0,0.0
188,dissatisfied,Male,Loyal Customer,18,Personal Travel,Eco Plus,1394,1,4,1,2,2,1,1,2,5,5,5,3,4,2,80,76.0
189,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2080,1,1,1,1,5,5,5,5,5,5,5,3,5,5,8,7.0
190,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,2921,1,1,3,1,2,4,4,4,4,4,5,4,4,4,0,1.0
191,satisfied,Female,Loyal Customer,52,Business travel,Business,984,4,4,4,4,2,4,5,4,4,4,4,5,4,5,3,0.0
192,dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,1141,2,3,2,3,1,2,1,1,2,3,2,3,1,1,0,0.0
193,dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,2264,1,5,1,1,5,1,5,5,3,5,4,3,5,5,0,3.0
194,satisfied,Male,disloyal Customer,18,Business travel,Eco,1899,0,0,0,3,2,0,2,2,1,4,1,5,3,2,0,3.0
195,satisfied,Male,Loyal Customer,26,Business travel,Business,1497,2,2,2,2,5,5,5,5,5,3,4,5,4,5,2,18.0
196,satisfied,Female,Loyal Customer,46,Business travel,Business,389,1,1,1,1,5,5,5,4,4,4,4,5,4,5,0,1.0
197,dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,2195,3,4,3,3,5,3,5,5,1,1,2,5,5,5,46,67.0
198,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,1996,2,2,2,2,5,4,5,4,4,4,4,3,4,3,7,0.0
199,satisfied,Female,Loyal Customer,30,Business travel,Business,5693,3,3,5,3,5,5,5,5,5,4,2,3,3,5,0,0.0
200,satisfied,Female,disloyal Customer,20,Business travel,Business,1428,4,0,4,4,2,4,2,2,4,2,4,5,4,2,0,0.0
201,satisfied,Female,Loyal Customer,15,Personal Travel,Eco,2060,3,3,3,3,4,4,5,4,5,3,5,3,4,4,0,0.0
202,satisfied,Female,Loyal Customer,47,Personal Travel,Eco,1053,4,4,4,4,4,4,4,4,1,5,4,1,3,4,2,0.0
